clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
B_cells,3448,0.8643369651873505,0.8969320923819373,0.7546403712296984,202178,299,846,2602,1,['BANK1'],"['BANK1', 'MS4A1', 'TNFRSF13C', 'CD70', 'BCL11A', 'LY9', 'RALGPS2', 'CD79A', 'ARHGAP24', 'IGHM']",0.85219985
DC,164,0.7211538461538461,0.9523809523809523,0.36585365853658536,205758,3,104,60,2,"['CLEC9A', 'WDFY4']","['CLEC9A', 'TACSTD2', 'XCR1', 'IDO1', 'WDFY4', 'RAB7B', 'DNASE1L3', 'LGALS2', 'CLNK', 'C1orf54']",0.78530777
Fibroblast,49423,0.9302108790405885,0.9909549626925761,0.7470408514254497,156165,337,12502,36921,2,"['PDGFRA', 'FBLN1']","['PDGFRA', 'FBLN1', 'EDN3', 'MFAP4', 'SCARA5', 'PCOLCE', 'OLFML3', 'DCN', 'OGN', 'SFRP4']",0.80919987
Macrophages,16470,0.8979708852291912,0.9738319371275586,0.6846387370977535,189152,303,5194,11276,2,"['C1QA', 'F13A1']","['C1QC', 'C1QA', 'C1QB', 'F13A1', 'CD163', 'VSIG4', 'MRC1', 'MSR1', 'FOLR2', 'MS4A6A']",0.8014173
Mast_cells,1355,0.9629272989889264,0.9844134536505332,0.8856088560885609,204551,19,155,1200,2,"['TPSAB1', 'CPA3']","['TPSAB1', 'CPA3', 'TPSB2', 'HDC', 'MS4A2', 'HPGDS', 'SLC24A3', 'KIT', 'SLC18A2', 'RGS13']",0.99318826
Melanocyte,30741,0.953483531921536,0.9887081856019732,0.8345532025633519,174891,293,5086,25655,2,"['MLANA', 'EDNRB']","['MLANA', 'EDNRB', 'PAX3', 'SLCO4A1-AS1', 'SYNPR', 'MLPH', 'CITED1', 'ABCB5', 'TEX41', 'GAPDHS']",0.7182274
Monocytes,5535,0.858353573458736,0.9617834394904459,0.6001806684733514,200258,132,2213,3322,2,"['AQP9', 'FCN1']","['AQP9', 'FCN1', 'S100A8', 'SERPINA1', 'FGR', 'LILRA5', 'CD300E', 'CFP', 'HCK', 'EREG']",0.9316957
Mural_cells,13762,0.852971643143856,0.9706532416502947,0.5744077895654701,191924,239,5857,7905,2,"['ACTA2', 'RGS5']","['ACTA2', 'RGS5', 'MYH11', 'MCAM', 'FAM13C', 'NDUFA4L2', 'MUSTN1', 'CNN1', 'PPP1R14A', 'MYL9']",0.73237157
NK_cells,4329,0.7378240852919796,0.9076005961251863,0.42203742203742206,201410,186,2502,1827,2,"['KLRF1', 'KLRB1']","['KLRF1', 'KLRB1', 'TXK', 'KLRD1', 'CD7', 'IL2RB', 'PRF1', 'GNLY', 'CTSW', 'NKG7']",0.8135713
Plasma_cells,2040,0.9006076388888888,0.9253065774804905,0.8137254901960784,203751,134,380,1660,1,['JCHAIN'],"['JCHAIN', 'MZB1', 'FCRL5', 'DERL3', 'POU2AF1', 'FKBP11', 'TXNDC5', 'JSRP1', 'LINC02362', 'IGKC']",0.88796955
RPE,19219,0.9114760211488008,0.9800243430944369,0.712211873666684,186427,279,5531,13688,2,"['BMP7', 'PLD5']","['BMP7', 'TRPM3', 'OTX2', 'PLD5', 'LHX2', 'GPM6A', 'WWC1', 'ADTRP', 'RLBP1', 'SHROOM3']",0.83114696
Schwann_cells,7843,0.9388971684053651,0.9448756742533877,0.9157210251179395,197663,419,661,7182,1,['NRXN1'],"['NRXN1', 'SCN7A', 'SORCS1', 'LGI4', 'XKR4', 'PLP1', 'GRIK2', 'ADGRB3', 'PRIMA1', 'MYOT']",0.936717
T_cells,17700,0.8976647962364677,0.9585413829626267,0.715819209039548,187677,548,5030,12670,1,['CD3D'],"['CD3D', 'BCL11B', 'THEMIS', 'CD2', 'CD3E', 'IL32', 'TRBC2', 'CAMK4', 'CD3G', 'BICDL1']",0.8775544
vEndo,33896,0.9517565561603166,0.9633756964878232,0.9079537408543781,170859,1170,3120,30776,1,['VWF'],"['VWF', 'ADGRL4', 'ANO2', 'PTPRB', 'SLCO2A1', 'FLT1', 'PCAT19', 'ERG', 'TEK', 'ST6GALNAC3']",0.8833407
