clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
Artery,10677,0.8290917649827886,0.9670555936856554,0.527863632106397,195056,192,5041,5636,2,"['SEMA3G', 'GJA5']","['SEMA3G', 'GJA5', 'ELOVL7', 'VEGFC', 'CCDC3', 'JAG2', 'SOX17', 'HEY1', 'MECOM', 'CLDN5']",0.7920043
B_cells,3448,0.8643369651873505,0.8969320923819373,0.7546403712296984,202178,299,846,2602,1,['BANK1'],"['BANK1', 'MS4A1', 'TNFRSF13C', 'CD70', 'BCL11A', 'LY9', 'CD79A', 'RALGPS2', 'IGHM', 'IGKC']",0.82863295
DC,164,0.7211538461538461,0.9523809523809523,0.36585365853658536,205758,3,104,60,2,"['CLEC9A', 'WDFY4']","['CLEC9A', 'XCR1', 'IDO1', 'TACSTD2', 'WDFY4', 'RAB7B', 'DNASE1L3', 'LGALS2', 'CLNK', 'C1orf54']",0.7308979
Fibroblast_1,28159,0.7521222117634867,0.7950251026928343,0.6185944103128662,173275,4491,10740,17419,2,"['SFRP4', 'SMOC2']","['PI16', 'PLA2G2A', 'SFRP4', 'EGFL6', 'EDN3', 'SMOC2', 'ADAMTSL1', 'OGN', 'PRRX1', 'CLMP']",0.42862287
Fibroblast_2,18798,0.5911306355415892,0.5918138041733547,0.5884136610277689,179498,7629,7737,11061,2,"['ABI3BP', 'EFEMP1']","['ABI3BP', 'BMP5', 'SCARA5', 'F3', 'EFEMP1', 'OLFML3', 'FBLN1', 'RGS5', 'CRISPLD2', 'PCOLCE']",0.3050063
Fibroblast_3,2466,0.4177035193743335,0.5949367088607594,0.19059205190592052,203139,320,1996,470,2,"['LUM', 'ZNF385D']","['LUM', 'COL5A2', 'ZNF385D', 'DPYSL3', 'COL1A1', 'COL3A1', 'DCN', 'COL1A2', 'ROBO1', 'PTN']",0.4811177
Macrophages_1,10588,0.8018728583244712,0.9334594222833562,0.5127502833396298,194950,387,5159,5429,2,"['MRC1', 'FPR3']","['MRC1', 'MSR1', 'FPR3', 'SLCO2B1', 'C1QA', 'VSIG4', 'C1QC', 'C1QB', 'F13A1', 'CD163']",0.61691236
Macrophages_2,5882,0.7869443331998398,0.8235540653813914,0.6681400884053044,199201,842,1952,3930,1,['C1QB'],"['VSIG4', 'C1QC', 'PLTP', 'C1QB', 'F13A1', 'C1QA', 'CD68', 'VAMP8', 'AIF1', 'RNASE1']",0.53128904
Mast_cells,1355,0.9629272989889264,0.9844134536505332,0.8856088560885609,204551,19,155,1200,2,"['CPA3', 'TPSAB1']","['CPA3', 'TPSAB1', 'TPSB2', 'HDC', 'MS4A2', 'HPGDS', 'KIT', 'SLC18A2', 'RGS13', 'IL1RL1']",0.98385894
Melanocyte,30741,0.8864555958786968,0.9537722723396616,0.6912917601899743,174154,1030,9490,21251,1,['SLCO4A1-AS1'],"['PAX3', 'SLCO4A1-AS1', 'ABCB5', 'MLPH', 'CITED1', 'SYNPR', 'GAPDHS', 'TEX41', 'TFAP2A', 'MLANA']",0.8467066
Monocytes_1,4868,0.8504842615012107,0.9293445580276608,0.6349630238290879,200822,235,1777,3091,2,"['FCN1', 'SERPINA1']","['FCN1', 'CD300E', 'CFP', 'FGR', 'SERPINA1', 'LILRA5', 'APOBEC3A', 'SMIM25', 'EREG', 'AQP9']",0.6242489
Monocytes_2,667,0.7625649913344887,0.9924812030075187,0.39580209895052476,205256,2,403,264,2,"['ADGRG3', 'CSF3R']","['ADGRG3', 'GLT1D1', 'S100A12', 'CSF3R', 'NCF2', 'S100A8', 'PLXNC1', 'SLC25A37', 'MXD1', 'S100A9']",0.6914917
NK_cells,4329,0.7378240852919796,0.9076005961251863,0.42203742203742206,201410,186,2502,1827,2,"['KLRB1', 'KLRF1']","['TXK', 'KLRB1', 'KLRF1', 'KLRD1', 'CD7', 'PRF1', 'CTSW', 'GNLY', 'NKG7', 'CD247']",0.78442943
Pericyte,6973,0.6328660900685953,0.8668300653594772,0.30431664993546537,198626,326,4851,2122,2,"['STEAP4', 'MCAM']","['STEAP4', 'CLSTN2', 'ABCC9', 'FAM13C', 'MCAM', 'NDUFA4L2', 'ACTA2', 'RGS5', 'SEMA5A', 'MYL9']",0.3881144
Plasma_cells,2040,0.9006076388888888,0.9253065774804905,0.8137254901960784,203751,134,380,1660,1,['JCHAIN'],"['JCHAIN', 'MZB1', 'FCRL5', 'DERL3', 'FKBP11', 'POU2AF1', 'JSRP1', 'LINC02362', 'TXNDC5', 'IGKC']",0.8764241
RPE?,6022,0.8787504412283799,0.8927738927738927,0.8268017270009963,199305,598,1043,4979,2,"['PPP1R14B-AS1', 'IL13RA2']","['PPP1R14B-AS1', 'IL13RA2', 'HRK', 'HKDC1', 'AC004784.1', 'AC093791.1', 'CYSRT1', 'MARCH4', 'FOLR3', 'IGFL2-AS1']",0.8204664
RPE_1,8854,0.8842201415848367,0.8866498740554156,0.874632934266998,196081,990,1110,7744,2,"['RLBP1', 'RPE65']","['RLBP1', 'RGR', 'RPE65', 'SLC6A13', 'SLC39A12', 'LRAT', 'CRX', 'SLC22A8', 'TTR', 'RRH']",0.66884506
RPE_2,4103,0.760744859235725,0.9540675152185943,0.4201803558371923,201739,83,2379,1724,2,"['SLC38A11', 'DCT']","['SLC38A11', 'HSD17B2', 'KCND2', 'DLGAP1', 'AC019197.1', 'DCT', 'NRG1', 'TYR', 'MLANA', 'OTX2']",0.54520345
RPE_Fetal,240,0.985494880546075,0.9914163090128756,0.9625,205683,2,9,231,1,['CRYBB3'],"['CRYBB3', 'LIM2', 'GJA8', 'FOXE3', 'SFRP2', 'SRD5A2', 'BHMT', 'NKAIN4', 'LYPD6', 'LYPD6B']",0.99008685
SMC,6789,0.8394342443175284,0.9077720207253887,0.6451612903225806,198691,445,2409,4380,2,"['MYH11', 'MUSTN1']","['MYH11', 'MUSTN1', 'CASQ2', 'PLN', 'CNN1', 'PTP4A3', 'RERGL', 'ACTA2', 'TAGLN', 'MAP3K20']",0.6735195
