clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
1.2,9015,0.03573944907030286,0.029283001051569845,0.3027176927343317,779700,90465,6286,2729,3,"['MT-CO2', 'MT-ATP6', 'MT-CO1']","['MT-CO2', 'MT-ATP6', 'MT-CO3', 'MT-CO1']",0.088788874
B_cells,7490,0.7896092427698874,0.8720032507110931,0.5730307076101468,871060,630,3198,4292,1,['BANK1'],"['BANK1', 'BLK', 'FCRL1', 'BACH2', 'SP140', 'RALGPS2', 'OSBPL10', 'CDK14', 'WDFY4', 'ARHGAP24']",0.71870404
DC,409,0.5662805662805663,0.9565217391304348,0.21515892420537897,878767,4,321,88,2,"['CLNK', 'SLC24A4']","['CLNK', 'FLT3', 'AC099560.1', 'IRF8', 'CCDC26', 'SLC24A4', 'IDO1', 'CPVL', 'HLA-DPB1', 'RAB7B']",0.70212495
Fibroblast,253803,0.8865359858652088,0.9643616448297172,0.6701930237231238,619091,6286,83706,170097,2,"['BICC1', 'CDH11']","['BICC1', 'CDH11', 'EYA1', 'CLMP', 'PDGFRA', 'PIEZO2', 'FBLN1', 'PID1', 'PDZRN4', 'MEG3']",0.42623013
Macrophages,53838,0.8317449444560264,0.9080637294748821,0.6224785467513652,821949,3393,20325,33513,2,"['F13A1', 'STAB1']","['F13A1', 'CD163', 'MRC1', 'MSR1', 'SLCO2B1', 'STAB1', 'SLC1A3', 'MS4A6A', 'CTSB', 'ATP8B4']",0.46277395
Mast_cells,1910,0.8270440251572327,0.8708609271523179,0.6884816753926701,877075,195,595,1315,1,['KIT'],"['KIT', 'SLC24A3', 'CPA3', 'SLC18A2', 'HDC', 'IL18R1', 'AL390957.1', 'CADPS', 'GALC', 'NDEL1']",0.8019092
Megakaryocytes&platelets,136,0.4528985507246377,0.7142857142857143,0.18382352941176472,879034,10,111,25,1,['ITGA2B'],"['ITGA2B', 'CNST', 'CREBRF', 'TMEM40', 'LTBP1', 'DNM3', 'ANK1', 'LINC02284', 'STON2', 'H3F3A']",0.9252637
Melanocyte,102348,0.8852132871943025,0.971121753011174,0.653847657013327,774842,1990,35428,66920,2,"['SYNPR', 'TEX41']","['SYNPR', 'TEX41', 'PAX3', 'ABCB5', 'KCNQ5', 'MLPH', 'CPEB2', 'ENOX1', 'GALNTL6', 'STK32A']",0.6398423
Monocytes,6848,0.5407882676443629,0.6305102858669517,0.3446261682242991,870949,1383,4488,2360,1,['VCAN'],"['VCAN', 'SLC11A1', 'HCK', 'ZDHHC20', 'GPCPD1', 'DMXL2', 'IRAK3', 'LYST', 'TBXAS1', 'MYO1F']",0.60773605
Mural_cells,27037,0.6784501271760818,0.9227343345416883,0.3295114102896031,851397,746,18128,8909,2,"['MYH11', 'CARMN']","['MYH11', 'CARMN', 'ACTA2', 'SGIP1', 'FAM13C', 'MCAM', 'CLMN', 'TAGLN', 'RCAN2', 'CALD1']",0.7279335
NK_cells,10200,0.5672141119221411,0.8149188514357054,0.25598039215686275,868387,593,7589,2611,2,"['TXK', 'CD247']","['KLRD1', 'TXK', 'SAMD3', 'CD247', 'SLFN12L', 'STAT4', 'MCTP2', 'NCALD', 'SKAP1', 'PARP8']",0.5229709
Plasma_cells,2563,0.6512191428138725,0.8514851485148515,0.3355442840421381,876467,150,1703,860,2,"['POU2AF1', 'FCRL5']","['POU2AF1', 'IGHG1', 'IGKC', 'FCRL5', 'TP53INP1', 'TXNDC5', 'TENT5C', 'GLCCI1', 'XBP1', 'CARMIL1']",0.7261216
RPE_Adult,123575,0.8824691411920067,0.9667384026781445,0.6543232854541776,752823,2782,42717,80858,2,"['ATP10B', 'RGR']","['ATP10B', 'RGR', 'STRIP2', 'CACNA2D3', 'FRMPD4', 'IFITM10', 'ABCA4', 'CACNA1D', 'RLBP1', 'CACNB2']",0.5630766
RPE_Fetal,104273,0.9508110677350249,0.9941704352741662,0.8095767840188736,774412,495,19856,84417,2,"['NRG1', 'AC019197.1']","['NRG1', 'AC019197.1', 'KCND2', 'SLC38A11', 'PTPRT', 'AL161757.4', 'DLGAP1', 'DPP10', 'AC016152.1', 'AC017101.1']",0.6786858
Schwann_cells,24495,0.9141672697383115,0.9362247232134687,0.835435803225148,853291,1394,4031,20464,1,['NRXN1'],"['NRXN1', 'SORCS1', 'SCN7A', 'XKR4', 'SLC35F1', 'CDH19', 'GRIK2', 'ADGRB3', 'CTNNA3', 'CHL1']",0.8420681
T_cells,26936,0.7603158137390502,0.8821208879379513,0.4897906147906148,850481,1763,13743,13193,2,"['THEMIS', 'CAMK4']","['THEMIS', 'BCL11B', 'CAMK4', 'ITK', 'IL7R', 'LINC01934', 'INPP4B', 'PARP8', 'SKAP1', 'SLFN12L']",0.5811895
vEndo,124304,0.8565971201880693,0.9851578561973695,0.5628137469429785,753822,1054,54344,69960,2,"['PTPRB', 'ST6GALNAC3']","['PTPRB', 'VWF', 'ST6GALNAC3', 'FLT1', 'EGFL7', 'SLCO2A1', 'ANO2', 'LDB2', 'ADGRL4', 'PECAM1']",0.4961596
