clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
1.2,9015,0.07168761861811075,0.06078228311957301,0.253910149750416,834795,35370,6726,2289,2,"['MT-ATP6', 'PTPRC']","['MT-CO2', 'MT-ATP6', 'MT-CO3', 'MT-CO1', 'PTPRC', 'ARHGAP26', 'SSH2']",0.07210299
Artery,28415,0.6049457100003846,0.7612518148088402,0.3321485131092733,847805,2960,18977,9438,2,"['VEGFC', 'NOTCH4']","['ELOVL7', 'VEGFC', 'DEPP1', 'EFNB2', 'NOTCH4', 'CTTNBP2NL', 'PIK3C2B', 'MECOM', 'PIK3R3', 'PLPP1']",0.50554436
B_cells,7490,0.7896092427698874,0.8720032507110931,0.5730307076101468,871060,630,3198,4292,1,['BANK1'],"['BANK1', 'FCRL1', 'BLK', 'BACH2', 'SP140', 'RALGPS2', 'WDFY4', 'OSBPL10', 'MARCH1', 'ARHGAP24']",0.68997276
DC,409,0.5662805662805663,0.9565217391304348,0.21515892420537897,878767,4,321,88,2,"['CLNK', 'SLC24A4']","['CLNK', 'FLT3', 'AC099560.1', 'SLC24A4', 'IRF8', 'RAB7B', 'CCDC26', 'IDO1', 'CPVL', 'HLA-DPB1']",0.65232503
Fibroblast_Adult_1,127531,0.6327611217898045,0.7832789699570816,0.35776399463659814,739025,12624,81905,45626,2,"['BMP5', 'SNED1']","['BMP5', 'ADCY2', 'SVEP1', 'ABTB2', 'COL25A1', 'SNED1', 'BICC1', 'SH3RF3', 'CLMP', 'CDH11']",0.24513596
Fibroblast_Adult_2,119605,0.6439967161044204,0.7153044788527486,0.46040717361314326,737658,21917,64538,55067,2,"['THSD7B', 'COL3A1']","['THSD7B', 'PLAGL1', 'EYA1', 'COL3A1', 'COL1A2', 'DPYSL3', 'PLXNC1', 'PDGFRA', 'IGFBP5', 'BICC1']",0.2572714
Fibroblast_Fetal_1,6114,0.44287252037521146,0.6686012768427162,0.18842001962708538,872495,571,4962,1152,2,"['COL1A1', 'COL12A1']","['COL1A1', 'COL12A1', 'COL5A2', 'CREB5', 'ROBO2', 'COL1A2', 'DCN', 'LTBP1', 'SLIT3', 'TENM4']",0.4371668
Fibroblast_Fetal_2,553,0.9206292456203075,0.9180035650623886,0.9312839059674503,878581,46,38,515,1,['MIR205HG'],"['MIR205HG', 'GRHL2', 'TP63', 'MEIS1', 'GRIA4', 'KRT19', 'BCL11A', 'FRAS1', 'ACSM3', 'BCAM']",0.99867
Macrophages,53838,0.830668582588721,0.9133264721426386,0.609885211189123,822226,3116,21003,32835,2,"['F13A1', 'CD163']","['F13A1', 'CD163', 'MSR1', 'MRC1', 'SLCO2B1', 'SLC1A3', 'STAB1', 'MS4A6A', 'CTSB', 'ATP8B4']",0.45275635
Mast_cells,1910,0.8270440251572327,0.8708609271523179,0.6884816753926701,877075,195,595,1315,1,['KIT'],"['KIT', 'SLC24A3', 'CPA3', 'SLC18A2', 'HDC', 'IL18R1', 'CADPS', 'AL390957.1', 'GALC', 'NDEL1']",0.7595473
Megakaryocytes&platelets,136,0.4528985507246377,0.7142857142857143,0.18382352941176472,879034,10,111,25,1,['ITGA2B'],"['ITGA2B', 'CNST', 'TMEM40', 'CREBRF', 'ANK1', 'LINC02284', 'STON2', 'RIPOR3', 'DNM3', 'LTBP1']",0.87480074
